SAMPLE_ID,SAMPLE_FIELD_ID,SAMPLE_DATE,LONG_DEG,LAT_DEG,YEAR_CONSTRUCTION,WELL_TYPE,WELL_DEPTH,DIVISION,DISTRICT,THANA,UNION,MOUZA,GEOCODE,As,Al,B_,Ba,Ca,Co,Cr,Cu,Fe,K_,Li,Mg,Mn,Na,P_,Si,SO4,Sr,V_,Zn
S99_06361,RIP6361,5/7/1999,89.1665,25.0638,1984,DTW,64,Rajshahi,Jaipurhat,Kalai,Kalai,Kalai,5385838500,0.9,< 0.01,< 0.1,0.034,23.4,< 0.003,< 0.002,< 0.008,0.171,1.5,0.007,7.58,0.172,15.6,< 0.1,31.9,0.8,0.095,< 0.002,0.016
S99_06371,RIP6371,7/7/1999,89.105,25.1029,1994,TARA,25.3,Rajshahi,Jaipurhat,Jaipurhat Sadar,Amdai,Mirgaon,5384709719,0.9,< 0.01,< 0.1,0.046,47.3,< 0.003,< 0.002,< 0.008,1.61,2.3,0.004,19.3,0.499,25.3,< 0.1,30.5,14,0.201,< 0.002,0.033
S99_07090,RIP7090,26/05/1999,89.8228,24.815,1991,HTW,18,Dhaka,Jamalpur,Madarganj,Sidhli,Sadarbari,3395883907,0.9,0.01,< 0.1,0.075,52.8,0.003,< 0.002,0.015,0.031,4.3,0.004,23,0.885,9.6,0.2,12.7,14.4,0.158,< 0.002,0.022
S99_07094,RIP7094,26/05/1999,89.7576,24.8964,1997,HTW,18,Dhaka,Jamalpur,Madarganj,Gunaritala,Khorda Jonail,3395847680,0.9,0.01,< 0.1,0.044,29,< 0.003,< 0.002,< 0.008,0.549,3.1,0.005,10.4,0.236,5.4,< 0.1,15.9,3.2,0.0703,< 0.002,0.025
S99_07096,RIP7096,26/05/1999,89.72,24.8954,1994,HTW,7.6,Dhaka,Jamalpur,Madarganj,Balijuri,Baladbhara (Balijuri),3395823051,0.9,0.03,< 0.1,0.038,32.9,< 0.003,< 0.002,0.01,0.215,3.5,0.006,15.6,0.922,13.5,0.2,23.7,10,0.147,< 0.002,0.025
S99_07134,RIP7134,31/05/1999,90.7937,24.0604,1993,TARA,46,Dhaka,Narsingdi,Shibpur,Joynagar,Pahar Joynagar,3687663711,0.9,< 0.01,< 0.1,0.028,17,< 0.003,0.004,< 0.008,0.053,1.2,0.004,6.35,0.033,16.7,0.1,34.1,0.3,0.118,0.004,0.035
S99_07232,RIP7232,15/06/1999,89.6248,25.184,1992,HTW,21,Rajshahi,Gaibandha,Fulchhari,Phulchhari,Pipalia,5322135833,0.9,0.06,< 0.1,0.065,62.3,< 0.003,< 0.002,< 0.008,0.068,5.3,< 0.004,16.2,1.33,8.4,< 0.1,12.1,5.6,0.186,< 0.002,0.009
S99_07303,RIP7303,23/06/1999,88.521,25.626,1995,HTW,25.3,Rajshahi,Dinajpur,Biral,Ranipukur,Kasipara,5271785569,0.9,0.02,< 0.1,0.016,4.7,< 0.003,< 0.002,< 0.008,3.19,2,< 0.004,1.43,0.174,7.5,0.2,19.8,1.9,0.023,< 0.002,0.093
S99_07379,RIP7379,5/7/1999,88.8,24.7733,1998,TARA,33.5,Rajshahi,Naogaon,Manda,Kansopara,Ilsagari,5644740522,0.9,0.02,< 0.1,0.016,25.2,< 0.003,< 0.002,< 0.008,0.058,0.5,0.01,12.6,1.01,30.4,< 0.1,26.5,2.4,0.153,< 0.002,0.038
S98_02719,RIP3200,10/5/1998,90.711,22.491,1997,DTW,284,Barisal,Bhola,Burhanuddin,Kutba,Kutba,1092157668,1,< 0.04,0.08,0.117,39.7,< 0.008,< 0.02,< 0.008,0.01,5.4,0.003,26.5,0.059,78.9,0.3,13.6,< 0.2,0.44,< 0.006,0.008
S98_02764,RIP0055,16/03/1998,89.9,23.774,1995,STW,39,Dhaka,Manikganj,Harirampur,Balla,Jhitka,3562814,1,< 0.04,0.02,0.089,72.3,< 0.008,< 0.02,< 0.008,3.79,1.5,< 0.003,15.7,0.469,8,0.7,16.3,14.3,0.18,< 0.006,< 0.008
S98_02791,RIP0093,22/04/1998,90.26,23.834,1984,STW,41,Dhaka,Dhaka,Savar,Savar,Dakshin dariapur,3267278296,1,< 0.01,< 0.1,0.016,11.8,< 0.003,< 0.002,< 0.008,0.04,1.7,< 0.004,4.05,< 0.002,15.6,0.2,40.2,9.6,0.106,0.007,0.01
S98_03096,RIP1043,25/03/1998,89.644,22.813,1998,DTW,295,Khulna,Khulna,Rupsa,Ghatbhogh,Pithabogh,4477527811,1,0.25,0.39,0.988,225,< 0.008,< 0.02,< 0.008,1.8,13.2,0.03,127,0.05,1090,0.5,15.8,< 0.2,1.36,< 0.006,0.028
S98_03240,RIP1210,4/3/1998,89.402,23.504,1996,STW,58,Khulna,Magura,Magura Sadar,Atharakhada,Atharakhada,4555706082,1,< 0.04,0.02,0.062,97.6,< 0.008,< 0.02,< 0.008,0.042,2.4,0.006,21.2,0.619,12.2,0.3,18.2,4.2,0.217,< 0.006,0.023
S98_03491,RIP1508,27/04/1998,90.251,22.908,1983,DTW,273,Barisal,Barisal,Gournadi,Batazore,Batazore,1063231137,1,< 0.04,0.6,0.034,8.43,< 0.008,< 0.02,< 0.008,0.208,2.4,0.006,4.05,0.013,277,0.6,13.4,3.9,0.0722,< 0.006,< 0.008
S98_03535,RIP1559,30/04/1998,90.514,22.375,1993,DTW,295,Barisal,Patuakhali,Bauphal,Noamala,Noamala,1783883800,1,< 0.04,0.19,0.017,8.21,< 0.008,< 0.02,< 0.008,0.054,2.7,< 0.003,4.33,0.014,133,0.6,11,0.3,0.0964,< 0.006,< 0.008
S98_03536,RIP1560,1/5/1998,90.344,22.463,1995,DTW,308,Barisal,Patuakhali,Patuakhali Sadar,Lebukhali,Lebukhali,1789547602,1,< 0.04,0.44,0.015,7.97,< 0.008,< 0.02,< 0.008,0.145,3.2,0.004,4.76,0.022,221,0.4,10.3,1,0.105,< 0.006,< 0.008
S98_03545,RIP1571,4/5/1998,90.18,22.172,1996,DTW,287,Barisal,Barguna,Barguna Sadar,Aylapathakata,Itbaria,1042809488,1,0.04,0.73,0.014,5.69,< 0.008,< 0.02,< 0.008,0.295,3.1,0.003,3.33,0.019,254,1.2,10.3,1.8,0.0598,< 0.006,0.013
S98_03554,RIP1584,29/04/1998,90.379,22.907,1995,DTW,312,Barisal,Barisal,Muladi,Muladi,Char laxmipura,1066959288,1,< 0.04,0.79,0.044,10.5,< 0.008,< 0.02,< 0.008,0.082,2.7,0.007,5.36,0.029,439,0.8,12.1,< 0.2,0.128,< 0.006,< 0.008
S98_03573,RIP1605,2/5/1998,90.232,21.98,1995,DTW,266,Barisal,Patuakhali,Kalapara,Tiakhali,Tiakhali,1786683931,1,0.04,0.66,0.022,7.32,< 0.008,< 0.02,< 0.008,0.174,4.9,0.006,6.88,0.014,269,2.7,10.4,0.8,0.0874,< 0.006,< 0.008
S98_03594,RIP1629,5/5/1998,89.967,22.367,1996,STW,21,Barisal,Pirojpur,Mathbaria,Dhanishafa,Dhanishafa,1795843422,1,0.06,0.63,0.31,117,< 0.008,< 0.02,< 0.008,2.48,21.3,0.008,141,0.12,1300,5.3,21.3,148,0.83,0.007,< 0.008
S98_03622,RIP1663,2/5/1998,90.399,22.24,1981,DTW,302,Barisal,Patuakhali,Galachipa,Amkhola,Bhangra,1785711162,1,< 0.04,0.35,0.026,6.34,< 0.008,< 0.02,< 0.008,0.102,2.8,0.004,3.62,0.015,181,0.9,10.1,0.4,0.0835,< 0.006,0.202
S98_03704,RIP1757,11/5/1998,90.214,23.072,1986,STW,22,Dhaka,Madaripur,Kalkini,Gopalpur,Majidbari,3544044657,1,0.04,0.5,0.041,72.3,< 0.003,< 0.002,< 0.008,2.31,23.6,0.021,79.6,0.047,302,2.6,42.4,0.8,0.54,< 0.002,0.014
S98_03870,RIP1959,28/04/1998,90.253,22.781,1997,DTW,316,Barisal,Barisal,Wazirpur,Guthia,Guthia,1069431387,1,0.06,0.3,0.019,4.7,< 0.003,< 0.002,< 0.008,0.148,1.9,0.008,2.17,0.011,198,0.3,13.1,0.3,0.0419,< 0.002,0.007
S98_04004,RIP2155,14/04/1998,88.967,24.408,1997,STW,43,Rajshahi,Natore,Natore Sadar,Tebaria,Chakbaidyanath,5696394268,1,0.07,< 0.1,0.165,158,< 0.003,< 0.002,< 0.008,0.179,2.4,0.007,34.6,0.669,38.4,0.1,19.5,43.3,0.396,0.003,0.018
S98_04073,RIP2234,18/04/1998,89.431,24.033,1996,STW,23,Rajshahi,Pabna,Santhia,Ataikula,Putigara,5767208763,1,0.13,< 0.1,0.043,64,< 0.003,< 0.002,< 0.008,0.404,1.9,0.006,25.2,1.2,43.2,0.2,24.7,0.9,0.309,0.004,0.016
S98_04376,RIP3342,21/05/1998,91.942,22.041,1996,Tara,61,Chittagong,Chittagong,Banshkhali,Bailchhari,Chechuria,2150812207,1,0.03,< 0.1,0.037,8.8,< 0.003,< 0.002,< 0.008,3.97,2.1,0.011,4.64,0.401,12.8,< 0.1,33.3,< 0.2,0.0857,< 0.002,0.043
S98_04448,RIP3470,25/05/1998,92.044,21.487,1997,DTW,212,Chittagong,Cox's Bazar,Cox's Bazar Sadar,Bharuakhali,Bharuakhali,2222405052,1,0.01,< 0.1,0.02,7.4,< 0.003,< 0.002,< 0.008,7.07,2.8,0.019,5.37,0.396,22.3,0.4,36.8,0.7,0.0869,< 0.002,0.019
S99_05154,RIP5154,1/6/1999,90.8707,23.9843,1996,HTW,9.1,Dhaka,Narsingdi,Raipur (N),Chanderkandi,Pacha Boalia,3686423726,1,0.06,< 0.1,0.101,38.4,< 0.003,< 0.002,< 0.008,0.922,4.5,< 0.004,16.4,0.234,54.3,< 0.1,16.6,23.4,0.137,< 0.002,0.019
S99_05167,RIP5167,6/6/1999,89.6512,24.2402,1978,HTW,22,Rajshahi,Sirajganj,Belkuchi,Dhukuriabera,Dhukuriabera,5881167377,1,0.05,< 0.1,0.101,51.7,< 0.003,0.002,< 0.008,0.654,22.7,< 0.004,15.5,3.07,18.2,< 0.1,18,11.6,0.199,< 0.002,0.016
S99_05196,RIP5196,9/6/1999,89.7147,24.2074,1986,HTW,20.1,Rajshahi,Sirajganj,Chauhali,Sthal,Santosha,5882771836,1,0.02,< 0.1,0.051,58.6,< 0.003,< 0.002,< 0.008,0.152,4.3,< 0.004,12.4,0.388,5.3,< 0.1,9.43,10.3,0.174,< 0.002,0.063
S99_05228,RIP5228,14/06/1999,89.4611,25.1033,1999,TARA,28.3,Rajshahi,Gaibandha,Gobindaganj,Mahinaganj,Kumlra Danga,5323050589,1,< 0.01,0.1,0.085,15.4,0.003,< 0.002,< 0.008,16.5,2.8,< 0.004,6.99,0.748,12.2,0.8,22.6,< 0.2,0.0521,< 0.002,0.033
S99_05303,RIP5303,24/06/1999,88.7774,25.8448,1995,HTW,21.3,Rajshahi,Dinajpur,Khansama,Angarpara,Pakerhat,5276031820,1,0.01,< 0.1,0.028,8.3,< 0.003,< 0.002,< 0.008,8.22,3.5,< 0.004,1.5,0.417,7,< 0.1,12.1,4.1,0.0331,< 0.002,0.022
S99_05340,RIP5340,30/06/1999,88.9638,24.7994,1997,TARA,25.3,Rajshahi,Naogaon,Naogaon Sadar,Boalia,Dogachhia,5646029358,1,< 0.01,< 0.1,0.036,37.8,< 0.003,< 0.002,< 0.008,1.14,2.1,0.007,15.9,0.342,24.9,< 0.1,32.7,13.7,0.159,< 0.002,0.019
S99_05359,RIP5359,4/7/1999,88.932,24.6017,1998,TARA,35.1,Rajshahi,Naogaon,Atrai,Ahshanganj,Brojapur,5640310224,1,< 0.01,< 0.1,0.047,71,< 0.003,< 0.002,< 0.008,0.477,1.8,0.005,14.7,0.45,18.8,< 0.1,21.2,8.2,0.211,< 0.002,0.029
S99_06023,RIP6023,13/05/1999,90.7964,24.2509,1986,DTW,103.6,Dhaka,Kishoreganj,Katiadi,Katiadi,Katiadi,3484557621,1,0.04,< 0.1,0.043,53.9,< 0.003,< 0.002,< 0.008,0.728,2.1,0.016,24.2,0.468,39,0.1,29,2.2,0.283,< 0.002,0.042
S99_06185,RIP6185,9/6/1999,88.9936,24.7877,1995,TARA,25.3,Rajshahi,Bogra,Adamdighi,Santahar,Sandira,5100681843,1,0.02,< 0.1,0.048,58,< 0.003,< 0.002,< 0.008,0.187,2.5,0.013,21,0.426,31.7,0.1,31.4,22.6,0.202,< 0.002,0.026
S99_06260,RIP6260,20/06/1999,89.679,25.8762,1988,HTW,14,Rajshahi,Kurigram,Kurigram Sadar,Bhogdanga,Madhya Kumarpur,5495219650,1,0.02,< 0.1,0.099,37.1,< 0.003,< 0.002,0.04,4.22,5,< 0.004,22.3,0.363,30.3,0.1,14.3,17.1,0.0446,< 0.002,0.032
S99_06275,RIP6275,22/06/1999,89.1981,26.0407,1990,HTW,18,Rajshahi,Lalmonirhat,Kaliganj (L),Madati,Sakhati,5523965774,1,< 0.01,< 0.1,0.012,7.8,< 0.003,< 0.002,< 0.008,3.53,3.7,< 0.004,2.5,0.131,6.1,0.2,18.1,1.3,0.0306,< 0.002,0.011
S99_06318,RIP6318,28/06/1999,88.6696,26.0475,1975,HTW,31.7,Rajshahi,Panchagarh,Debiganj,Chengti Hazhadanga,Hazradanga,5773409433,1,< 0.01,< 0.1,0.02,7,< 0.003,< 0.002,< 0.008,3.44,2.3,< 0.004,2.26,0.172,10.2,0.1,25.9,0.7,0.0512,< 0.002,0.015
S99_07069,RIP7069,23/05/1999,90.2128,25.0055,1962,HTW,26.2,Dhaka,Sherpur,Nakla,Urpha,Ramishimul,3896785893,1,< 0.01,< 0.1,0.049,10.9,< 0.003,< 0.002,< 0.008,4.9,2.2,< 0.004,6.16,0.185,9.8,< 0.1,16.7,6,0.0519,< 0.002,0.027
S99_07156,RIP7156,5/6/1999,89.0481,24.4557,1998,HTW,25.9,Rajshahi,Natore,Singra,Lalor,Ataikula,5699163024,1,0.04,< 0.1,0.114,163,< 0.003,< 0.002,0.019,1.22,3.8,0.011,35.4,0.866,13,0.2,17.7,18.4,0.286,< 0.002,0.028
S99_07339,RIP7339,29/06/1999,89.0664,25.2802,1998,HTW,22.9,Rajshahi,Dinajpur,Hakimpur,Hili Hakimpur,Chhatni,5274754279,1,< 0.01,< 0.1,0.021,13.1,< 0.003,< 0.002,< 0.008,0.88,1.3,0.005,4.88,0.169,14.5,< 0.1,29.3,< 0.2,0.0647,< 0.002,0.013
S98_02695,RIP1570,4/5/1998,90.21,22.143,1997,DTW,285,Barisal,Barguna,Barguna Sadar,Burirchar,Burirchar,1042838206,1.1,< 0.04,0.63,0.012,4.86,< 0.008,< 0.02,< 0.008,0.269,2.8,< 0.003,2.79,0.015,243,1.3,9.33,1.5,0.0555,< 0.006,0.018
S98_02700,RIP1630,6/5/1998,90.099,22.743,1993,DTW,268,Barisal,Pirojpur,Nesarabad,Nesarabad,Nesarabad,1798795482,1.1,< 0.04,0.5,0.024,5.81,< 0.008,< 0.02,< 0.008,0.079,1.7,0.004,2.69,0.009,255,0.5,10.8,0.7,0.0528,< 0.006,< 0.008
S98_02735,RIP0017,11/3/1998,90.705,23.788,1996,STW,16,Dhaka,Narayanganj,Araihazar,Sadasasrdi,Ramchandradi,3670279795,1.1,< 0.04,0.05,0.48,83.1,< 0.008,< 0.02,< 0.008,0.314,51.3,0.007,49.5,2.09,98.4,< 0.2,13.6,80,0.24,< 0.006,< 0.008
S98_02738,RIP0021,12/3/1998,90.516,23.7,1993,DTW,135,Dhaka,Narayanganj,Shiddirganj,Shiddirganj,Simrail,3678063884,1.1,< 0.04,0.03,0.104,30.8,< 0.008,< 0.02,< 0.008,2.12,1.4,0.004,12.8,0.209,40.6,< 0.2,27.1,0.8,0.187,< 0.006,0.022
S98_02851,RIP0340,24/05/1998,91.781,24.484,1994,STW,46,Sylhet,Maulvibazar,Maulvi Bazar Sadar,Ward-01,Court area,6587421209,1.1,< 0.04,< 0.01,0.063,4.41,< 0.008,< 0.02,< 0.008,0.38,4.3,0.004,1.46,0.035,7.3,< 0.2,9.21,0.3,0.0346,< 0.006,0.03
S98_03124,RIP1075,24/03/1998,89.422,22.861,1997,STW,54,Khulna,Khulna,Dumuria,Raghunathpur,Thakura,4473061965,1.1,< 0.04,0.04,0.119,57,< 0.008,< 0.02,< 0.008,0.39,1,< 0.003,26.7,1.97,266,0.5,16.8,1,0.34,< 0.006,< 0.008
S98_03176,RIP1134,27/03/1998,88.985,22.693,1997,DTW,217,Khulna,Satkhira,Satkhira Sadar,Ghona,Mahadebnagar,4878261611,1.1,< 0.04,0.11,0.065,64.3,< 0.008,< 0.02,< 0.008,0.097,4.1,0.004,25.8,0.044,77.2,< 0.2,15.5,< 0.2,0.38,< 0.006,< 0.008
S98_03233,RIP1201,1/4/1998,89.771,22.658,1997,DTW,277,Khulna,Bagerhat,Bagerhat Sadar,Karapara,Kanthal,4010869461,1.1,< 0.04,0.2,0.325,95.5,< 0.008,< 0.02,< 0.008,0.533,11.2,0.009,64.9,0.165,426,< 0.2,13.4,< 0.2,0.826,< 0.006,< 0.008
S98_03601,RIP1637,6/5/1998,90.089,22.73,1993,DTW,312,Barisal,Pirojpur,Nesarabad,Shohagdal,D.Pur. Shohagdal,1798776776,1.1,< 0.04,0.46,0.07,14.9,< 0.008,< 0.02,< 0.008,0.217,3.1,0.004,7.56,0.035,288,0.5,11.3,< 0.2,0.132,< 0.006,< 0.008
S98_03823,RIP1895,17/05/1998,89.651,23.506,1991,STW,64,Dhaka,Faridpur,Madhukhali,Madhukhali,Kamaldia,3295652514,1.1,0.07,< 0.1,0.043,123,0.005,< 0.002,< 0.008,0.036,2,0.007,42,3.83,22.6,0.2,25.1,1.2,0.471,0.005,0.014
S98_03852,RIP1932,27/04/1998,90.521,22.957,1997,DTW,309,Barisal,Barisal,Hizla,Memania,Durgapur,1063694,1.1,0.05,0.1,0.078,42.9,< 0.003,< 0.002,< 0.008,0.072,5.4,0.011,26.6,0.052,123,< 0.1,14.6,0.3,0.605,< 0.002,0.017
S98_04264,RIP3215,11/5/1998,90.679,22.709,1991,DTW,286,Barisal,Bhola,Bhola Sadar,Dhania,Dhania,1091836497,1.1,< 0.01,0.2,0.049,15.4,< 0.003,< 0.002,< 0.008,0.247,4.8,< 0.004,11.3,0.051,137,0.3,19.1,0.2,0.174,< 0.002,0.007
S98_04317,RIP3275,11/4/1998,90.659,22.591,1994,DTW,297,Barisal,Bhola,Daulatkhan,Uttar Joynagar,Uttar Joynagar,1092976952,1.1,0.18,0.1,0.048,24.1,< 0.003,< 0.002,< 0.008,0.075,4.8,0.006,13.3,0.035,120,0.1,14.6,0.5,0.256,< 0.002,0.009
S98_04382,RIP3350,22/05/1998,91.834,22.326,1996,STW,13,Chittagong,Chittagong,Kotwali (C),SMA W09,Feringee bazar,2154115646,1.1,0.07,0.2,0.016,42.7,< 0.003,< 0.002,0.02,5.58,21.3,0.005,85,0.577,106,2.2,29.4,11.3,0.488,< 0.002,0.032
S99_04030,RIP4030,13/05/1999,90.6027,24.4698,1993,TARA,71,Dhaka,Kishoreganj,Hossainpur,Jinari,Hazipur,3482740518,1.1,0.04,< 0.1,0.048,27.8,< 0.003,< 0.002,< 0.008,0.175,1.7,< 0.004,11.6,0.191,30,0.1,25.2,< 0.2,0.163,< 0.002,0.027
S99_04095,RIP4095,21/05/1999,90.2659,24.7639,1986,DTW,51.8,Dhaka,Mymensingh,Muktagachha,Ward-2,Para Tong,3616502852,1.1,0.05,< 0.1,0.018,21.6,0.004,< 0.002,0.01,0.201,0.6,< 0.004,8.18,2.14,19.7,0.3,28.2,4,0.186,< 0.002,0.073
S99_04242,RIP4242,16/06/1999,89.791,25.4424,1977,HTW,19.1,Rajshahi,Kurigram,Char Rajibpur,Rajibpur,Char Rajibpur,5490819175,1.1,0.36,< 0.1,0.089,86.9,< 0.003,0.051,< 0.008,0.367,4.9,0.178,15.8,0.843,14.1,0.2,10.6,8.7,0.242,< 0.002,0.029
S99_04267,RIP4267,20/06/1999,89.6197,25.847,1994,HTW,18.3,Rajshahi,Kurigram,Kurigram Sadar,Holokhana,Baraibari,5495238127,1.1,0.05,< 0.1,0.073,31.3,< 0.003,< 0.002,< 0.008,4.6,3.4,< 0.004,12.6,0.119,7.6,< 0.1,14.9,3.9,0.0721,< 0.002,0.028
S99_04321,RIP4321,28/06/1999,88.6312,26.1811,1984,HTW,22.3,Rajshahi,Panchagarh,Boda,Sakoa,Nagar Sakoa,5772594744,1.1,< 0.01,< 0.1,0.009,8.7,< 0.003,< 0.002,< 0.008,3.57,4,< 0.004,2.91,0.128,6,0.1,19,4.3,0.0371,< 0.002,0.014
S99_05151,RIP5151,31/05/1999,90.7718,24.1824,1995,HTW,40.8,Dhaka,Narsingdi,Manohardi,Barachapa,Chanditala,3685206214,1.1,0.03,< 0.1,0.036,10.3,< 0.003,< 0.002,< 0.008,0.347,1.1,< 0.004,3.76,0.215,14.1,< 0.1,27.3,14.2,0.0928,< 0.002,0.092
S99_05202,RIP5202,9/6/1999,89.7813,24.0463,1999,HTW,18.3,Rajshahi,Sirajganj,Chauhali,Umarpur,Pathrail,5882737684,1.1,0.07,< 0.1,0.086,67.4,< 0.003,< 0.002,< 0.008,6.84,4.1,< 0.004,18.5,1.34,9.4,0.7,18.4,19.9,0.234,< 0.002,0.035
S99_05367,RIP5367,4/7/1999,88.9406,24.6379,1996,HTW,31.7,Rajshahi,Naogaon,Atrai,Sahagola,Rasulpur,5640384828,1.1,< 0.01,< 0.1,0.05,58.6,< 0.003,< 0.002,< 0.008,0.375,2.9,0.012,17.2,0.328,39.9,< 0.1,28.8,22.4,0.184,< 0.002,0.025
S99_06168,RIP6168,3/6/1999,90.5764,24.0111,1996,TARA,57.9,Dhaka,Gazipur,Kaliganj (G),Noktarpur,Potan,3333494827,1.1,0.02,< 0.1,0.076,21.6,< 0.003,< 0.002,< 0.008,1.28,1,< 0.004,10.5,0.096,25.9,0.3,25,< 0.2,0.155,< 0.002,0.025
S99_06237,RIP6237,16/06/1999,89.6818,26.0372,1984,HTW,18,Rajshahi,Kurigram,Nageshwari,Raiganj,Raiganj,5496182881,1.1,0.02,< 0.1,0.075,37.8,< 0.003,0.005,< 0.008,7.61,4.3,< 0.004,11.8,0.979,8.6,0.3,16,4.9,0.0823,< 0.002,0.019
S99_07368,RIP7368,4/7/1999,89.1043,24.7064,1997,HTW,19.8,Rajshahi,Naogaon,Raninagar,Ekdala,Jatrapur,5648521481,1.1,< 0.01,< 0.1,0.039,60.8,< 0.003,< 0.002,< 0.008,2.45,2.8,0.011,19.4,0.978,18.8,< 0.1,31.6,26.8,0.17,< 0.002,0.04
S98_02722,RIP3274,11/5/1998,90.662,22.628,1998,DTW,294,Barisal,Bhola,Daulatkhan,Uttar joynagar,Uttar Joynagar,1092976952,1.2,< 0.04,0.16,0.042,27,< 0.008,< 0.02,< 0.008,0.249,4.5,0.005,19.5,0.066,128,0.3,14.4,< 0.2,0.306,< 0.006,0.01
S98_03311,RIP1292,2/4/1998,89.498,23.269,1997,STW,21,Khulna,Narail,Narail Sadar,Habakhali,Harighara,4657640475,1.2,< 0.04,0.06,0.108,115,< 0.008,< 0.02,< 0.008,0.078,1.7,0.005,43.4,2.66,204,0.3,18.4,< 0.2,0.54,0.007,< 0.008
S98_03433,RIP1445,16/04/1998,89.001,23.721,1991,STW,43,Khulna,Chuadanga,Alamdanga,Jamjami,Jamjami,4180755489,1.2,< 0.04,0.02,0.051,90.8,< 0.008,< 0.02,< 0.008,0.063,1.1,< 0.003,20.8,1.22,14.9,< 0.2,21.5,19.4,0.263,0.007,0.016
S98_03467,RIP1483,21/04/1998,89.007,23.79,1996,STW,41,Khulna,Kushtia,Kushtia Sadar,Paitkabari,Paitkabari,4507988807,1.2,< 0.01,0.02,0.072,109,< 0.003,0.003,< 0.008,0.024,1.1,0.003,35.6,1.02,47.3,0.2,22.6,0.7,0.361,0.004,0.012
S98_03472,RIP1488,21/04/1998,89.102,23.84,1995,STW,39,Khulna,Kushtia,Kushtia Sadar,Alampur,Swastipur,4507918969,1.2,< 0.04,0.03,0.075,89.2,< 0.008,< 0.02,< 0.008,0.05,2.4,0.006,22.4,1.26,14.6,< 0.2,21.4,< 0.2,0.29,< 0.006,0.01
S98_03532,RIP1555,30/04/1998,90.457,22.427,1962,DTW,254,Barisal,Patuakhali,Bauphal,Baga,Baga,1783811076,1.2,0.05,0.2,0.024,8.77,< 0.008,< 0.02,< 0.008,0.247,3.2,< 0.003,5.12,0.013,143,0.6,11.4,96.1,0.101,< 0.006,0.032
S98_03598,RIP1634,6/5/1998,90.134,22.742,1984,STW,45,Barisal,Pirojpur,Nesarabad,Atgharkuriana,Mahamudkati,1798709594,1.2,< 0.04,0.17,0.03,55.7,< 0.008,< 0.02,< 0.008,2.53,5.1,0.003,34,0.114,104,1,21.3,0.6,0.264,< 0.006,0.01
S98_03690,RIP1742,9/5/1998,90.294,22.598,1980,DTW,276,Barisal,Jhalakati,Nalchity,Siddhakati,Abhaynil,1427384006,1.2,0.01,0.4,0.034,10.8,< 0.003,< 0.002,< 0.008,0.214,3.2,0.006,7.67,0.038,264,0.4,9.9,0.6,0.138,< 0.002,0.005
S98_03922,RIP2061,3/4/1998,88.894,24.369,1996,STW,38,Rajshahi,Rajshahi,Puthia,Jeopara,Sebagh,5818254404,1.2,0.09,< 0.1,0.085,84.4,< 0.003,< 0.002,< 0.008,0.179,2,0.009,30,0.619,13.6,0.1,19.8,1.8,0.182,0.002,0.013
S98_04173,RIP3112,2/5/1998,91.194,23.427,1994,Tara,52,Chittagong,Comilla,Comilla Sadar,Chawara,Lhawara,2196729554,1.2,0.75,< 0.1,0.026,16.8,< 0.003,< 0.002,< 0.008,3.18,1.9,0.005,6.99,0.252,18.9,0.1,36,4,0.0943,< 0.002,0.034
S98_04258,RIP3208,10/5/1998,90.745,22.526,1997,DTW,172,Barisal,Bhola,Burhanuddin,Bara manika,Dakshin batamara,1092109046,1.2,2.33,0.2,0.132,198,< 0.003,0.018,0.023,0.28,8.4,0.015,27.4,0.089,134,0.4,17.5,4.3,0.731,0.002,0.658
S98_04311,RIP3268,10/5/1998,90.838,22.426,1990,DTW,311,Barisal,Bhola,Tazumuddin,Chandpur,Chandpur,1099157165,1.2,0.21,0.2,0.184,58.2,< 0.003,< 0.002,< 0.008,1.63,7.8,0.015,44.6,0.092,103,0.2,27.5,1.1,0.49,< 0.002,0.058
S98_04316,RIP3273,10/5/1998,90.795,22.494,1991,DTW,295,Barisal,Bhola,Tazumuddin,Bara Malanchara,Mahadevpur,1099119629,1.2,0.28,< 0.1,0.092,29.1,< 0.003,< 0.002,< 0.008,0.407,6.2,0.005,23.8,0.088,64.4,0.2,24.6,0.9,0.282,< 0.002,0.019
S98_04369,RIP3333,19/05/1998,91.313,22.949,1995,DTW,205,Chittagong,Feni,Daganbhuiyan,Mathu bhuiyan,Ganipur,2302556402,1.2,0.03,< 0.1,0.142,40.4,< 0.003,< 0.002,< 0.008,3.34,5.9,0.005,26.5,0.158,56.2,0.3,30.1,0.9,0.323,< 0.002,0.017
S98_04408,RIP3379,21/05/1998,91.889,22.215,1997,DTW,233,Chittagong,Chittagong,Anowara,Barakhain,Barakhain,2150428050,1.2,0.01,< 0.1,0.037,26.2,< 0.003,< 0.002,< 0.008,1.52,3.3,0.014,11.4,0.142,30.5,0.1,28.1,2.4,0.247,< 0.002,0.017
S99_04210,RIP4210,10/6/1999,89.1122,24.9384,1997,TARA,25.3,Rajshahi,Bogra,Dubchachia,Zianagar,Zianagar,5103381449,1.2,0.04,< 0.1,0.036,24.4,< 0.003,< 0.002,< 0.008,0.363,1.4,< 0.004,8.84,0.299,23.1,< 0.1,29.2,0.9,0.0759,< 0.002,0.02
