ID,Longitude,Latitude
286,-104.3802599,40.52391996
287,-104.33074,41.17664998
288,-104.32031,42.04691001
289,-104.30606,43.09467002
290,-104.2949086,33.25229114
291,-104.26771,40.38669996
292,-104.24721,39.14085996
293,-104.24586,34.57883002
294,-104.2399232,35.16870842
295,-104.2306986,37.2635755
296,-104.2304354,33.39545406
297,-104.1955033,41.7868337
298,-104.19528,42.58713004
299,-104.18088,38.30523999
300,-104.16236,38.64345999
301,-104.16187,38.09162001
302,-104.1351853,41.57203271
303,-104.09222,41.25908002
304,-104.0758277,38.95179339
305,-104.03854,32.55819999
306,-104.0096334,39.44205112
307,-103.98769,37.87116003
308,-103.9802,34.64981996
309,-103.9271945,36.10768446
310,-103.89461,38.31013995
311,-103.8904025,39.44617792
312,-103.8466242,36.92004466
313,-103.8349096,33.40276882
314,-103.8283,33.11860998
315,-103.73691,34.01008001
316,-103.72828,32.23849002
317,-103.67941,35.61959
318,-103.65258,32.51794996
319,-103.6499,34.17697997
320,-103.61216,35.04333002
321,-103.6054301,40.08761002
322,-103.5821499,40.37752999
323,-103.57657,38.56455001
324,-103.55973,32.71555
325,-103.5108901,32.51749001
326,-103.47941,33.66632997
327,-103.47804,33.75996004
328,-103.44191,32.17824002
329,-103.43874,35.33792998
330,-103.41678,38.23064003
331,-103.3359566,36.73584955
332,-103.3265797,34.74533808
333,-103.2675293,39.74840781
334,-103.2477301,33.08188999
335,-103.22149,35.61010004
336,-103.19369,37.21077997
337,-103.14659,40.59711003
338,-103.13627,35.25973002
339,-103.1265,38.74358003
340,-103.12583,34.27362002
341,-103.12577,34.90834999
342,-103.1002553,36.22042183
343,-103.09211,39.88706998
344,-103.08431,40.53503002
345,-103.0695088,36.63849525
346,-103.05801,40.84219004
347,-102.9093299,40.09418998
348,-102.90466,38.82406998
349,-102.89763,38.58310996
350,-102.80351,37.51671995
351,-102.7579928,39.25470506
352,-102.74502,39.69928998
353,-102.6937791,40.00430678
354,-102.67776,38.49740996
355,-102.6492327,37.38754569
356,-102.6443501,38.27468998
357,-102.54069,39.43278999
358,-102.5358976,37.64558925
359,-102.4668099,37.95591004
360,-102.4377199,40.62343996
361,-102.37958,40.48980997
362,-102.3766499,37.34450004
363,-102.3079527,39.80422587
364,-102.2723,40.49724001
365,-102.2435201,38.39936997
366,-102.16244,37.35293002
367,-102.155362,38.96903104
368,-101.8796,39.58041001
369,-101.8103584,39.7498984
370,-101.76923,37.74132429
371,-101.7652296,37.36698678
372,-101.67567,38.77065997
373,-101.5665095,37.34455443
374,-101.4684246,39.81329202
375,-101.3571524,38.96031369
376,-101.3438,37.35149001
377,-101.2430835,39.34007895
378,-101.15766,37.92533999
379,-101.10436,38.74379004
380,-101.10359,37.1918
381,-101.0577289,39.30341897
382,-101.0428947,37.55756279
383,-100.7569701,39.33566001
384,-100.72556,37.26948004
385,-100.561489,37.93107667
386,-100.4695101,38.56851003
387,-100.46048,38.27724996
388,-100.4254345,39.63251235
389,-100.33519,38.17113004
390,-100.29245,39.76302998
391,-100.15742,39.00033
392,-100.15446,37.83302998
393,-100.10789,37.64975
394,-100.10159,39.34804998
395,-100.0318235,37.88073567
396,-100.00687,37.34108003
397,-99.99603296,39.78865799
398,-99.92172998,39.23278997
399,-99.87967272,39.49799327
400,-99.67167424,39.04104102
401,-99.63696448,37.58943012
402,-99.53576499,38.27941818
403,-99.52685001,38.20008999
404,-99.32518632,37.62712736
405,-98.98737997,38.49327002
406,-98.89445001,38.16624998
407,-98.77331999,38.72389
408,-98.69459998,37.03674999
409,-98.69173,37.91554004
410,-98.66794825,38.49984551
411,-98.6076019,39.9340052
412,-98.59475995,37.25646
413,-98.56034825,37.77842756
414,-98.41123116,39.7380801
415,-98.39495576,38.52128672
416,-98.33722856,39.51354056
417,-98.19079192,38.36273937
418,-98.12000373,39.20715788
419,-98.11371001,37.06444996
420,-98.08104997,37.48510003
421,-98.05867,37.32921999
422,-98.0097001,39.03406983
423,-97.96907004,38.60025001
424,-97.71234598,39.4407911
425,-97.70893997,37.28099
426,-97.70401999,38.32076997
427,-97.68524882,38.7534471
428,-97.64697508,38.83082972
429,-97.63001227,39.8728028
430,-97.62683062,37.62542541
431,-97.53615756,39.15506986
432,-97.34207344,38.88574841
433,-97.33256592,37.99815539
434,-97.3132509,37.79084054
435,-97.19644216,37.17371279
436,-97.09350999,38.36187997
437,-97.0642075,38.70673214
438,-97.00732979,38.89842663
439,-96.97578996,39.61054004
440,-96.92496006,37.65049002
441,-96.8533888,38.04864257
442,-96.78932018,38.35691377
443,-96.70336784,37.54351069
444,-96.56494231,38.43159248
445,-96.54289699,39.13100059
446,-96.44198867,39.12880056
447,-96.35167998,39.96077997
448,-96.33322228,38.98470206
449,-96.22429057,37.01525989
450,-96.19007585,38.25740492
451,-96.17549,39.27077998
452,-96.16241035,37.98819214
453,-96.13322776,39.01316029
454,-96.06479269,37.64499629
455,-96.03611005,39.77562999
456,-95.93802996,39.08395001
457,-95.80377321,37.22847609
458,-95.8028998,37.8498724
459,-95.73365173,37.95180619
460,-95.71590001,38.08414004
461,-95.67702799,38.68061822
462,-95.60391998,39.75304001
463,-95.55413379,38.67139262
464,-95.52098663,39.56081578
465,-95.48475339,39.13829671
466,-95.47712358,37.26198185
467,-95.37215319,39.88232889
468,-95.36933051,37.12323986
469,-95.3651564,39.84798828
470,-95.23890906,37.69142105
471,-95.18900004,37.93123002
472,-95.01079355,39.81130609
473,-94.91542121,37.28449297
