"x","y","B2","B3","B4","B5","B6","B7","B8","B8A","B11","B12","Class","Landuse","Class_ID"
679629.029443546,4764059.13729541,190,505,264,875,3029,3029,4242,4580,2336,1092,"Class_4","Grass",4
679631.54708941,4764059.13729541,190,504,227,875,3029,3029,4401,4580,2336,1092,"Class_4","Grass",4
679634.064735274,4764059.13729541,190,504,227,875,3029,3029,4401,4580,2336,1092,"Class_4","Grass",4
679636.582381137,4764059.13729541,190,504,227,875,3029,3029,4401,4580,2336,1092,"Class_4","Grass",4
679639.100027001,4764059.13729541,190,504,227,875,3029,3029,4401,4580,2336,1092,"Class_4","Grass",4
679641.617672865,4764059.13729541,217,525,276,843,3025,3025,4338,4764,2357,1093,"Class_4","Grass",4
679644.135318729,4764059.13729541,217,525,276,843,3025,3025,4338,4764,2357,1093,"Class_4","Grass",4
679646.652964593,4764059.13729541,217,525,276,843,3025,3025,4338,4764,2357,1093,"Class_4","Grass",4
679649.170610456,4764059.13729541,217,525,276,843,3025,3025,4338,4764,2357,1093,"Class_4","Grass",4
679651.68825632,4764059.13729541,244,538,283,843,3025,3025,4355,4764,2357,1093,"Class_4","Grass",4
679654.205902184,4764059.13729541,244,538,283,843,3025,3025,4355,4764,2357,1093,"Class_4","Grass",4
679656.723548048,4764059.13729541,244,538,283,843,3025,3025,4355,4764,2357,1093,"Class_4","Grass",4
679659.241193912,4764059.13729541,244,538,283,843,3025,3025,4355,4764,2357,1093,"Class_4","Grass",4
679661.758839775,4764059.13729541,224,540,234,887,3267,3267,4738,5040,2450,1114,"Class_4","Grass",4
679664.276485639,4764059.13729541,224,540,234,887,3267,3267,4738,5040,2450,1114,"Class_4","Grass",4
679666.794131503,4764059.13729541,224,540,234,887,3267,3267,4738,5040,2450,1114,"Class_4","Grass",4
679669.311777367,4764059.13729541,224,540,234,887,3267,3267,4738,5040,2450,1114,"Class_4","Grass",4
679671.82942323,4764059.13729541,226,545,258,887,3267,3267,5028,5040,2450,1114,"Class_4","Grass",4
679674.347069094,4764059.13729541,226,545,258,887,3267,3267,5028,5040,2450,1114,"Class_4","Grass",4
679676.864714958,4764059.13729541,226,545,258,887,3267,3267,5028,5040,2450,1114,"Class_4","Grass",4
679679.382360822,4764059.13729541,226,545,258,887,3267,3267,5028,5040,2450,1114,"Class_4","Grass",4
679681.900006686,4764059.13729541,334,681,411,1040,3298,3298,4873,4949,2627,1268,"Class_4","Grass",4
679684.417652549,4764059.13729541,334,681,411,1040,3298,3298,4873,4949,2627,1268,"Class_4","Grass",4
679686.935298413,4764059.13729541,334,681,411,1040,3298,3298,4873,4949,2627,1268,"Class_4","Grass",4
679689.452944277,4764059.13729541,334,681,411,1040,3298,3298,4873,4949,2627,1268,"Class_4","Grass",4
679691.970590141,4764059.13729541,371,723,540,1040,3298,3298,4586,4949,2627,1268,"Class_4","Grass",4
679694.488236005,4764059.13729541,371,723,540,1040,3298,3298,4586,4949,2627,1268,"Class_4","Grass",4
679697.005881868,4764059.13729541,371,723,540,1040,3298,3298,4586,4949,2627,1268,"Class_4","Grass",4
679699.523527732,4764059.13729541,371,723,540,1040,3298,3298,4586,4949,2627,1268,"Class_4","Grass",4
679702.041173596,4764059.13729541,328,652,497,1161,3108,3108,4624,4763,2661,1343,"Class_4","Grass",4
679704.55881946,4764059.13729541,328,652,497,1161,3108,3108,4624,4763,2661,1343,"Class_4","Grass",4
679707.076465324,4764059.13729541,328,652,497,1161,3108,3108,4624,4763,2661,1343,"Class_4","Grass",4
679709.594111187,4764059.13729541,328,652,497,1161,3108,3108,4624,4763,2661,1343,"Class_4","Grass",4
679712.111757051,4764059.13729541,382,692,537,1161,3108,3108,4497,4763,2661,1343,"Class_4","Grass",4
679714.629402915,4764059.13729541,382,692,537,1161,3108,3108,4497,4763,2661,1343,"Class_4","Grass",4
679717.147048779,4764059.13729541,382,692,537,1161,3108,3108,4497,4763,2661,1343,"Class_4","Grass",4
679719.664694643,4764059.13729541,382,692,537,1161,3108,3108,4497,4763,2661,1343,"Class_4","Grass",4
679762.464674327,4764059.13729541,679,984,1341,1397,2824,2824,3608,3904,2905,2123,"Class_1","Parking/road/pavement",1
679764.982320191,4764059.13729541,679,984,1341,1397,2824,2824,3608,3904,2905,2123,"Class_1","Parking/road/pavement",1
679767.499966055,4764059.13729541,679,984,1341,1397,2824,2824,3608,3904,2905,2123,"Class_1","Parking/road/pavement",1
678191.45365532,4764056.6460266,412,699,766,907,1686,1686,1885,2260,1652,1110,"Class_2","Building",2
679238.794334658,4764056.6460266,245,566,459,874,2215,2215,3011,3023,1822,962,"Class_4","Grass",4
679241.311980522,4764056.6460266,295,587,513,946,2021,2021,2814,2953,1957,1052,"Class_4","Grass",4
679243.829626386,4764056.6460266,295,587,513,946,2021,2021,2814,2953,1957,1052,"Class_4","Grass",4
679246.34727225,4764056.6460266,295,587,513,946,2021,2021,2814,2953,1957,1052,"Class_4","Grass",4
679248.864918113,4764056.6460266,295,587,513,946,2021,2021,2814,2953,1957,1052,"Class_4","Grass",4
679251.382563977,4764056.6460266,282,599,515,946,2021,2021,2508,2953,1957,1052,"Class_4","Grass",4
679253.900209841,4764056.6460266,282,599,515,946,2021,2021,2508,2953,1957,1052,"Class_4","Grass",4
679256.417855705,4764056.6460266,282,599,515,946,2021,2021,2508,2953,1957,1052,"Class_4","Grass",4
679258.935501568,4764056.6460266,282,599,515,946,2021,2021,2508,2953,1957,1052,"Class_4","Grass",4
679261.453147432,4764056.6460266,332,556,522,958,1873,1873,2534,2773,2017,1126,"Class_4","Grass",4
679263.970793296,4764056.6460266,332,556,522,958,1873,1873,2534,2773,2017,1126,"Class_4","Grass",4
679626.511797682,4764056.6460266,190,505,264,875,3029,3029,4242,4580,2336,1092,"Class_4","Grass",4
679629.029443546,4764056.6460266,190,505,264,875,3029,3029,4242,4580,2336,1092,"Class_4","Grass",4
679631.54708941,4764056.6460266,190,504,227,875,3029,3029,4401,4580,2336,1092,"Class_4","Grass",4
679634.064735274,4764056.6460266,190,504,227,875,3029,3029,4401,4580,2336,1092,"Class_4","Grass",4
679636.582381137,4764056.6460266,190,504,227,875,3029,3029,4401,4580,2336,1092,"Class_4","Grass",4
679639.100027001,4764056.6460266,190,504,227,875,3029,3029,4401,4580,2336,1092,"Class_4","Grass",4
679641.617672865,4764056.6460266,217,525,276,843,3025,3025,4338,4764,2357,1093,"Class_4","Grass",4
679644.135318729,4764056.6460266,217,525,276,843,3025,3025,4338,4764,2357,1093,"Class_4","Grass",4
679646.652964593,4764056.6460266,217,525,276,843,3025,3025,4338,4764,2357,1093,"Class_4","Grass",4
679649.170610456,4764056.6460266,217,525,276,843,3025,3025,4338,4764,2357,1093,"Class_4","Grass",4
679651.68825632,4764056.6460266,244,538,283,843,3025,3025,4355,4764,2357,1093,"Class_4","Grass",4
679654.205902184,4764056.6460266,244,538,283,843,3025,3025,4355,4764,2357,1093,"Class_4","Grass",4
679656.723548048,4764056.6460266,244,538,283,843,3025,3025,4355,4764,2357,1093,"Class_4","Grass",4
679659.241193912,4764056.6460266,244,538,283,843,3025,3025,4355,4764,2357,1093,"Class_4","Grass",4
679661.758839775,4764056.6460266,224,540,234,887,3267,3267,4738,5040,2450,1114,"Class_4","Grass",4
679664.276485639,4764056.6460266,224,540,234,887,3267,3267,4738,5040,2450,1114,"Class_4","Grass",4
679666.794131503,4764056.6460266,224,540,234,887,3267,3267,4738,5040,2450,1114,"Class_4","Grass",4
679669.311777367,4764056.6460266,224,540,234,887,3267,3267,4738,5040,2450,1114,"Class_4","Grass",4
679671.82942323,4764056.6460266,226,545,258,887,3267,3267,5028,5040,2450,1114,"Class_4","Grass",4
679674.347069094,4764056.6460266,226,545,258,887,3267,3267,5028,5040,2450,1114,"Class_4","Grass",4
679676.864714958,4764056.6460266,226,545,258,887,3267,3267,5028,5040,2450,1114,"Class_4","Grass",4
679679.382360822,4764056.6460266,226,545,258,887,3267,3267,5028,5040,2450,1114,"Class_4","Grass",4
679681.900006686,4764056.6460266,334,681,411,1040,3298,3298,4873,4949,2627,1268,"Class_4","Grass",4
679684.417652549,4764056.6460266,334,681,411,1040,3298,3298,4873,4949,2627,1268,"Class_4","Grass",4
679686.935298413,4764056.6460266,334,681,411,1040,3298,3298,4873,4949,2627,1268,"Class_4","Grass",4
679689.452944277,4764056.6460266,334,681,411,1040,3298,3298,4873,4949,2627,1268,"Class_4","Grass",4
679691.970590141,4764056.6460266,371,723,540,1040,3298,3298,4586,4949,2627,1268,"Class_4","Grass",4
679694.488236005,4764056.6460266,371,723,540,1040,3298,3298,4586,4949,2627,1268,"Class_4","Grass",4
679697.005881868,4764056.6460266,371,723,540,1040,3298,3298,4586,4949,2627,1268,"Class_4","Grass",4
679699.523527732,4764056.6460266,371,723,540,1040,3298,3298,4586,4949,2627,1268,"Class_4","Grass",4
679702.041173596,4764056.6460266,328,652,497,1161,3108,3108,4624,4763,2661,1343,"Class_4","Grass",4
679704.55881946,4764056.6460266,328,652,497,1161,3108,3108,4624,4763,2661,1343,"Class_4","Grass",4
679707.076465324,4764056.6460266,328,652,497,1161,3108,3108,4624,4763,2661,1343,"Class_4","Grass",4
679709.594111187,4764056.6460266,328,652,497,1161,3108,3108,4624,4763,2661,1343,"Class_4","Grass",4
679712.111757051,4764056.6460266,382,692,537,1161,3108,3108,4497,4763,2661,1343,"Class_4","Grass",4
679714.629402915,4764056.6460266,382,692,537,1161,3108,3108,4497,4763,2661,1343,"Class_4","Grass",4
679717.147048779,4764056.6460266,382,692,537,1161,3108,3108,4497,4763,2661,1343,"Class_4","Grass",4
679719.664694643,4764056.6460266,382,692,537,1161,3108,3108,4497,4763,2661,1343,"Class_4","Grass",4
679762.464674327,4764056.6460266,679,984,1341,1397,2824,2824,3608,3904,2905,2123,"Class_1","Parking/road/pavement",1
679764.982320191,4764056.6460266,679,984,1341,1397,2824,2824,3608,3904,2905,2123,"Class_1","Parking/road/pavement",1
679767.499966055,4764056.6460266,679,984,1341,1397,2824,2824,3608,3904,2905,2123,"Class_1","Parking/road/pavement",1
679233.759042931,4764054.15475778,245,566,459,874,2215,2215,3011,3023,1822,962,"Class_4","Grass",4
679236.276688794,4764054.15475778,245,566,459,874,2215,2215,3011,3023,1822,962,"Class_4","Grass",4
679238.794334658,4764054.15475778,245,566,459,874,2215,2215,3011,3023,1822,962,"Class_4","Grass",4
679241.311980522,4764054.15475778,295,587,513,946,2021,2021,2814,2953,1957,1052,"Class_4","Grass",4
679243.829626386,4764054.15475778,295,587,513,946,2021,2021,2814,2953,1957,1052,"Class_4","Grass",4
679246.34727225,4764054.15475778,295,587,513,946,2021,2021,2814,2953,1957,1052,"Class_4","Grass",4
679248.864918113,4764054.15475778,295,587,513,946,2021,2021,2814,2953,1957,1052,"Class_4","Grass",4
679251.382563977,4764054.15475778,282,599,515,946,2021,2021,2508,2953,1957,1052,"Class_4","Grass",4
679253.900209841,4764054.15475778,282,599,515,946,2021,2021,2508,2953,1957,1052,"Class_4","Grass",4
679256.417855705,4764054.15475778,282,599,515,946,2021,2021,2508,2953,1957,1052,"Class_4","Grass",4
679258.935501568,4764054.15475778,282,599,515,946,2021,2021,2508,2953,1957,1052,"Class_4","Grass",4
679261.453147432,4764054.15475778,332,556,522,958,1873,1873,2534,2773,2017,1126,"Class_4","Grass",4
679263.970793296,4764054.15475778,332,556,522,958,1873,1873,2534,2773,2017,1126,"Class_4","Grass",4
679266.48843916,4764054.15475778,332,556,522,958,1873,1873,2534,2773,2017,1126,"Class_4","Grass",4
679626.511797682,4764054.15475778,190,505,264,875,3029,3029,4242,4580,2336,1092,"Class_4","Grass",4
679629.029443546,4764054.15475778,190,505,264,875,3029,3029,4242,4580,2336,1092,"Class_4","Grass",4
679631.54708941,4764054.15475778,190,504,227,875,3029,3029,4401,4580,2336,1092,"Class_4","Grass",4
679634.064735274,4764054.15475778,190,504,227,875,3029,3029,4401,4580,2336,1092,"Class_4","Grass",4
679636.582381137,4764054.15475778,190,504,227,875,3029,3029,4401,4580,2336,1092,"Class_4","Grass",4
679639.100027001,4764054.15475778,190,504,227,875,3029,3029,4401,4580,2336,1092,"Class_4","Grass",4
679641.617672865,4764054.15475778,217,525,276,843,3025,3025,4338,4764,2357,1093,"Class_4","Grass",4
679644.135318729,4764054.15475778,217,525,276,843,3025,3025,4338,4764,2357,1093,"Class_4","Grass",4
679646.652964593,4764054.15475778,217,525,276,843,3025,3025,4338,4764,2357,1093,"Class_4","Grass",4
679649.170610456,4764054.15475778,217,525,276,843,3025,3025,4338,4764,2357,1093,"Class_4","Grass",4
679651.68825632,4764054.15475778,244,538,283,843,3025,3025,4355,4764,2357,1093,"Class_4","Grass",4
