"FIPS","x","y","cancer","poverty","smoking","PM25","NO2"
13243,1058282.45916248,1027981.06875336,69.314219,25.9,27.2,12.58,0.719
13283,1252655.89784032,1125410.71615792,85.78178002,27.2,28.8,12.9,0.742
37109,1323677.52454651,1484314.98820243,65.85751973,11.1,27.1,12.31,2.409
36035,1731906.78826456,2432891.23172747,65.8903654,14.6,28.2,7.66,1.384
51610,1607210.95192084,1921661.41024199,51.1238498,3,13.4,8.29,2.38
36097,1553949.12277927,2311832.58223933,67.43986326,12.1,26.2,9.04,1.448
37077,1535005.9208573,1613210.20227392,77.00097219,13.6,27.7,12.62,1.986
51730,1625527.44944943,1733268.28045805,98.29528047,19.3,29.4,12.79,2.681
13101,1248348.26988058,934440.32943154,71.43739158,25,29.1,11.89,0.564
42009,1473184.11737275,2023798.3994087,52.38055231,11.8,27.9,11.7,2.785
13189,1243553.42916823,1245820.70175277,94.24436488,19.4,28.5,13.08,1.564
13081,1148323.71251247,1057203.73261071,77.5781536,27.5,27.9,13.34,0.743
51710,1730261.7542296,1719321.7732803,77.63749552,18.9,25.2,11.43,2.38
51065,1535867.50884075,1788758.04305821,55.23656109,6.8,23.5,11.19,2.006
37001,1474728.08932671,1572762.40103555,68.76103387,12.5,27.4,12.82,2.349
12055,1452456.60638326,587708.55757276,59.11185179,16.4,27.2,8.22,0.692
13179,1361780.1067854,1076726.91541299,75.25945907,16.8,25.5,11.06,0.798
13239,1032302.68380107,1036603.89082913,93.25135751,23.6,28.9,12.8,0.71
51137,1549999.87725218,1837565.6777516,68.66011869,8.8,26.6,11.92,2.353
54017,1301653.50174239,1910050.18491104,76.22124311,19.5,31.3,12.03,3.156
13201,1068274.98429057,962213.13310375,79.50870021,22.1,27.2,12.71,0.688
34011,1768774.33028418,2011919.0924279,71.94151426,14.8,29,13.07,3.846
13135,1095759.98770339,1279796.43627526,52.97517311,8.4,19.1,13.77,3.263
42019,1337590.33882542,2102567.40702906,59.66211732,8.3,23.2,12.85,4.07
36091,1776076.01113309,2442465.76529629,63.52705331,6.6,20.9,8.58,1.519
37107,1646302.99656917,1513043.27038464,73.34796073,20.5,27.7,12.59,1.286
13215,1037083.18751635,1109400.01425417,74.77305004,17.5,25.3,13.82,0.969
42077,1699112.31148608,2138770.95298781,57.28682176,9.9,24.8,10.82,4.526
13089,1079948.55929404,1256389.65382895,51.9869876,14.6,19.1,13.97,4.565
51183,1642946.11509036,1704445.42376146,85.93663496,19.5,28.1,12.49,1.914
51840,1517023.25536356,1936981.42496154,78.66397873,12.4,26.4,11.95,2.766
37093,1509167.12232169,1462165.10764141,82.52349366,17.5,28.6,13.91,1.735
42083,1429885.04464777,2220922.96445278,73.61718359,13.7,28.4,10.12,1.363
45061,1434148.18331473,1352336.95823645,81.16609263,26.9,29.2,12.5,1.442
45051,1552375.47046444,1345424.0881923,70.15831771,14.3,30.6,10.61,1.116
37031,1742993.49335743,1485548.21236331,75.86774747,11.8,27.3,8.25,0.855
45005,1354654.16912039,1206555.33344301,72.54337853,36.8,28.5,11.87,1.097
37039,1075668.3867172,1409410.99092529,68.97624252,16.5,28.3,11.24,0.877
36027,1820406.1792036,2298754.25012394,59.72389657,8,22.6,9.5,2.07
13223,1019493.24972581,1265907.63858595,74.62912375,6.9,25.9,13.97,2.926
13117,1082914.22371141,1307948.07393185,52.0720686,5.2,18.4,13.83,2.026
12125,1308304.18248788,868162.62896269,216.1456637,21.3,31.5,10.99,0.828
42131,1643088.7746471,2230410.22770248,64.63258968,10.9,26.2,8.67,1.583
54075,1378205.37833814,1816237.44916183,75.44493273,17.4,28.5,9.89,0.953
13053,1047514.92505311,1092319.57731382,87.77667696,18.8,21,13.27,0.838
54019,1291852.9334163,1767655.84987957,95.59443022,21.6,31.5,10.46,1.547
54101,1339894.37537176,1828331.82115528,89.22043681,26.8,31.2,10.44,1.06
37185,1580830.1774389,1632431.42480119,60.48774093,23,27.3,12.9,1.508
13191,1375560.82868284,1041347.40896874,68.49990748,19,27.7,10.79,0.696
12013,1033881.38320151,873281.03545826,86.77605794,21.1,30.8,10.85,0.584
13311,1111168.39929971,1358919.71108176,60.80585123,12.6,25.5,11.91,1.057
51153,1585461.89315201,1896563.54316991,60.89438673,5.5,20.6,13.39,3.723
37085,1534801.60498201,1506770.29747153,75.72976753,15.8,27.8,14,1.719
45067,1516215.83404444,1357000.87962024,78.89366539,24.1,29.9,11.67,1.176
36123,1530166.57879455,2334378.46804741,64.12527931,13.8,25.3,9.08,1.511
13267,1305712.57137841,1092823.6306806,91.8607182,25.1,28.7,12.22,0.759
13321,1145798.95871453,1015128.3981677,71.79141044,19.6,28.3,13.05,0.866
45035,1440375.91938628,1230614.93369203,64.32002503,11.2,25.1,10.67,1.193
36069,1509820.64627381,2355302.69285752,64.29159654,8.4,21.8,9.01,1.888
13057,1050761.13044617,1306115.37429453,62.08526173,6.4,22.6,13.86,2.441
