"FIPS","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
37149,2.243,2.61,2.434,2.619,2.601,2.144,1.636,1.821,1.714,1.532,0.979,1.082,1.075,0.946,1.011
13243,0.938,0.803,0.86,1.17,0.903,0.88,0.55,0.797,0.595,0.719,0.533,0.598,0.514,0.499,0.449
13283,0.742,0.782,0.997,0.922,0.943,0.783,0.709,0.864,0.748,0.706,0.575,0.534,0.515,0.348,0.328
37109,3.229,2.518,3.138,3.02,3.664,3.184,2.409,2.694,2.24,2.353,1.985,2.02,1.472,1.319,1.647
36035,1.605,1.498,1.914,1.612,1.297,1.712,1.384,1.462,1.008,0.936,1.4,1.354,0.931,0.805,1.345
36097,3.08,3.138,3.306,2.063,2.674,1.413,2.014,1.562,1.142,1.448,1.431,0.867,0.677,0.86,0.905
37077,2.692,2.083,2.433,1.986,2.159,2.26,1.979,2.278,2.204,1.217,1.244,0.873,1.026,0.972,1.065
51730,2.992,3.025,2.681,2.458,2.773,3.308,2.52,2.825,3.012,2.957,1.784,1.02,2.428,1.692,1.967
13101,0.897,0.889,0.961,0.829,0.95,0.851,0.536,0.859,0.447,0.564,0.488,0.484,0.48,0.415,0.364
42009,3.874,4.217,4.246,3.633,4.407,2.785,2.606,2.939,2.958,2.306,1.488,1.755,1.631,2.22,1.575
13189,1.722,1.897,1.934,1.769,1.913,1.842,1.269,1.756,1.17,1.564,0.87,1.122,0.861,0.649,0.813
13081,0.993,0.884,1.128,1.163,1.109,1.211,0.907,0.743,0.65,0.67,0.571,0.546,0.544,0.533,0.443
51710,3.73,3.44,3.713,3.144,3.916,2.213,2.358,2.727,2.359,2.588,2.039,1.613,2.38,1.358,1.682
51065,2.163,2.26,2.376,2.006,1.967,2.132,2.117,2.198,3.07,1.345,1.378,1.182,1.485,0.965,0.978
37001,3.283,3.32,3.409,2.752,2.927,3.247,2.592,2.349,2.297,1.67,1.486,1.549,1.286,1.041,1.269
13179,0.798,1.04,1.298,1.281,1.453,1.078,1.2,1.157,0.698,0.682,0.613,0.535,0.559,0.523,0.486
13239,1.057,0.907,0.994,1.218,0.969,0.871,0.706,0.861,0.572,0.71,0.533,0.571,0.521,0.459,0.453
51137,2.973,2.995,2.596,2.304,2.353,3.934,2.462,2.556,2.975,1.636,1.472,1.1,1.23,1.259,1.154
54017,5.109,4.6,3.575,3.875,4.344,3.156,3.456,2.418,3.323,2.899,1.908,1.917,1.943,1.895,2.956
13201,0.754,0.886,0.693,0.86,0.752,0.861,0.688,0.741,0.675,0.668,0.47,0.63,0.47,0.4,0.381
34011,4.366,4.791,4.137,3.856,3.846,4.054,4.302,4.162,3.328,2.955,3.354,2.841,2.353,1.732,2.239
13135,3.761,4.462,4.257,4.353,3.934,3.617,3.263,4.192,2.808,2.252,3.259,2.068,2.546,2.136,1.747
42019,6.018,6.28,6.563,6.442,7.003,4.07,3.878,4.108,4.5,3.302,3.818,2.062,2.924,2.165,2.616
