"FIPS","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
13185,90436,91472,10370,10551,10894,10849,11355,11677,12152,12381,12744,13787,14464,15244,16164
13187,19709,20547,92206,92402,93903,94207,96510,98273,100592,101752,104918,107583,109233,111574,114214
13189,21141,21212,21251,22152,23048,24162,24916,25884,27300,28228,29128,29723,29966,30495,30705
13191,10438,10625,21269,21323,21141,21155,21256,21419,21564,21527,21790,21836,21875,21641,21666
13193,13977,14029,10948,11401,11648,11878,12182,12408,12950,13623,13973,14268,14333,14227,13842
13195,24602,25334,14025,14186,14245,14294,14304,14241,14364,14402,14496,14842,14740,14493,14304
13197,6910,7020,25800,26046,26512,26857,26859,27123,27347,27649,27820,28008,28120,28118,28050
13199,22559,22502,7189,7322,7400,7521,7637,7818,8089,8255,8357,8561,8742,8748,8736
13201,6437,6399,22526,22524,22726,22615,22563,22587,22694,22506,22632,22446,21992,21605,21325
13205,23325,23615,6351,6372,6336,6206,6135,6096,6104,6124,6158,6131,6125,6057,5971
13207,20831,21430,23965,23872,23698,23594,23520,23363,23579,23974,23840,23592,23498,23448,23126
13209,8022,8215,21824,22092,22767,23499,23648,24080,24924,25726,25969,26233,26424,26692,26741
13211,14976,15274,8234,8505,8532,8805,9040,8997,9165,9175,9100,9136,9123,9101,8964
13213,34041,35495,15531,15951,16244,16397,16604,16925,17316,17648,17958,17921,17868,17905,17823
13215,185756,185734,36737,37683,38167,38998,39465,39723,40173,40138,39869,39888,39628,39433,39392
13217,56994,59506,186478,186375,185139,180838,185057,186543,189464,184704,184763,188796,189885,195400,199466
13219,24706,25637,62768,66823,71102,75610,80603,85647,90647,95699,98240,99494,99958,100565,101122
13221,12083,12312,25874,26135,26501,27334,27904,28616,29720,30755,31697,32386,32808,33273,33526
13223,72444,77863,12688,12902,13152,13369,13591,13699,14030,14382,14663,14784,14899,14793,14620
13225,23025,23348,83026,88910,94561,100340,106350,113132,122635,131172,137066,140761,142324,143819,145025
13227,20420,21840,23871,24063,24348,24595,24818,24756,25510,26467,27222,27474,27695,27554,27504
13229,15364,15387,23412,24334,25258,26209,26810,27277,28169,29095,29531,29542,29431,29471,29327
13231,12829,13312,15702,15811,15995,16278,16755,17179,17502,17933,18210,18564,18758,18738,18861
13233,37452,37812,13571,13834,14445,14881,15474,15908,16590,17220,17619,17721,17869,17789,17795
13235,9377,9458,38178,38612,39109,39246,39564,39860,40372,40789,41407,41386,41475,41289,41105
13237,17997,18667,9655,9882,10168,10351,10646,10890,11183,11445,11638,11903,12010,11857,11692
13239,2596,2563,18834,19152,19366,19494,19810,20012,20368,20800,21075,21179,21218,21265,21149
13241,14311,14798,2596,2607,2547,2478,2457,2519,2545,2529,2547,2497,2513,2458,2407
13243,7793,7827,15070,15310,15458,15691,15757,15934,16090,16306,16359,16295,16276,16281,16314
13245,199741,199395,7773,7786,7747,7699,7726,7707,7786,7758,7645,7736,7719,7586,7317
13247,68524,69214,199547,199443,198670,196958,196883,195837,196449,196483,198423,198489,200549,200509,201856
13249,3725,3706,70724,71875,73158,74860,76577,78086,79911,82146,83558,84625,85215,85532,85625
13251,15157,15256,3791,3860,3920,3976,4070,4270,4374,4601,4835,4954,5010,5018,4986
13253,9325,9343,15341,15057,15226,15040,15047,15065,14884,14865,14843,14905,14593,14415,14193
13255,58041,58227,9329,9251,9210,9033,9065,8905,8869,8800,8827,8760,8729,8774,8908
13257,25291,25270,58497,58927,59699,60222,60588,61091,61971,62682,63651,64135,64073,64089,63727
13259,5309,5270,25482,25594,25625,25432,25314,25332,25488,25620,26004,26069,26175,25742,25701
