"ID","Longitude","Latitude","x","y","STATE_ID","STATE","FIPS","COUNTY","SOC"
307,-103.98769,37.87116003,-695174.29,1677616.65,8,"Colorado",8089,"Otero County",2.359
310,-103.89461,38.31013995,-683009.57,1725972.56,8,"Colorado",8025,"Crowley County",1.665
311,-103.8904025,39.44617792,-672086.61,1852833.46,8,"Colorado",8039,"Elbert County",9.1
321,-103.6054301,40.08761002,-642119.98,1922501.65,8,"Colorado",8087,"Morgan County",2.203
322,-103.5821499,40.37752999,-637569.95,1954721.84,8,"Colorado",8087,"Morgan County",3.435
323,-103.57657,38.56455001,-653282.55,1752158.12,8,"Colorado",8073,"Lincoln County",3.075
330,-103.41678,38.23064003,-642451.07,1713758.37,8,"Colorado",8089,"Otero County",1.897
333,-103.2675293,39.74840781,-616552,1882372.38,8,"Colorado",8121,"Washington County",11.156
336,-103.19369,37.21077997,-631808.15,1598299.21,8,"Colorado",8071,"Las Animas County",4.492
337,-103.14659,40.59711003,-599167.71,1976410.38,8,"Colorado",8075,"Logan County",0.152
339,-103.1265,38.74358003,-613047.37,1769166.35,8,"Colorado",8017,"Cheyenne County",1.872
343,-103.09211,39.88706998,-600539.54,1896742.66,8,"Colorado",8121,"Washington County",3.852
344,-103.08431,40.53503002,-594473.77,1969085.15,8,"Colorado",8075,"Logan County",4.011
346,-103.05801,40.84219004,-589718.24,2003228.15,8,"Colorado",8075,"Logan County",6.147
347,-102.9093299,40.09418998,-583404.11,1918748.35,8,"Colorado",8121,"Washington County",3.48
348,-102.90466,38.82406998,-593343.12,1776755.46,8,"Colorado",8017,"Cheyenne County",1.611
349,-102.89763,38.58310996,-594698.64,1749774.47,8,"Colorado",8061,"Kiowa County",3.446
350,-102.80351,37.51671995,-595147.23,1629972.73,8,"Colorado",8009,"Baca County",2.983
351,-102.7579928,39.25470506,-577331.54,1823993.6,8,"Colorado",8063,"Kit Carson County",6.448
352,-102.74502,39.69928998,-572691.81,1873613.82,8,"Colorado",8125,"Yuma County",12.132
353,-102.6937791,40.00430678,-565942.97,1907399.81,8,"Colorado",8125,"Yuma County",0.708
354,-102.67776,38.49740996,-576448.08,1738838.33,8,"Colorado",8061,"Kiowa County",1.542
355,-102.6492327,37.38754569,-582685.92,1614576.58,8,"Colorado",8009,"Baca County",4.086
356,-102.6443501,38.27468998,-575312.68,1713733.26,8,"Colorado",8061,"Kiowa County",4.974
357,-102.54069,39.43278999,-557424.71,1842606.11,8,"Colorado",8063,"Kit Carson County",6.753
358,-102.5358976,37.64558925,-570782.6,1642738.28,8,"Colorado",8009,"Baca County",4.569
359,-102.4668099,37.95591004,-562393.61,1677025.3,8,"Colorado",8099,"Prowers County",8.05
360,-102.4377199,40.62343996,-539632.61,1975104.72,8,"Colorado",8095,"Phillips County",4.977
361,-102.37958,40.48980997,-535770.52,1959841.79,8,"Colorado",8095,"Phillips County",9.614
362,-102.3766499,37.34450004,-559159,1608126.41,8,"Colorado",8009,"Baca County",6.129
363,-102.3079527,39.80422587,-534858.69,1882798.25,8,"Colorado",8125,"Yuma County",2.18
364,-102.2723,40.49724001,-526719.22,1960072.52,8,"Colorado",8095,"Phillips County",4.592
365,-102.2435201,38.39936997,-539740.2,1725324.57,8,"Colorado",8061,"Kiowa County",3.595
366,-102.16244,37.35293002,-540340.82,1607829.89,8,"Colorado",8009,"Baca County",2.839
367,-102.155362,38.96903104,-527997.07,1788544.37,8,"Colorado",8017,"Cheyenne County",6.334
